"Abadeh"	"Barcelona"	"Berlin"	"Colombo"	"Copenhagen"	"Crete"	"Denver"	"Guimaraes"	"Isfahan"	"Johannesburg"	"Lahijan"	"Lisbon"	"London"	"MexicoCity"	"Monterrey"	"Nairobi"	"Nowshahr"	"Perth"	"PigeonIsland"	"Prague"	"SaltLakeCity"	"Salvador"	"SanCristobalDeLasCasas"	"Santiago"	"Sardinia"	"Tatui"	"Tehran"	"TelAviv"	"TelAvivColony"	"TlaxcalaDeXicohtencatl"	"Torshavn"	"Trincomalee"	"Vernelle"	"WadiHidan"	"Cpalumbus"
"PigeonIsland"	0.014071	0.00845	0.006521	0.026526	0.026987	0.071177	0.072091	0.009705	0.027026	0.004666	0.016633	0.002667	0.015978	0.017697	0.013479	0.003942	0.051223	0.042173	NA	1953696	1568318	1515101	1351349	1772904	3156477	1259438	1839154	1973964	1730128	1497409	2834681	3230723	1530977	2582632	1908534
"Prague"	0.02367	0.016354	0.01512	0.019616	0.026229	-0.001937	0.039249	0.016655	0.030016	0.015251	0.021107	0.012456	0.017811	0.026389	0.017024	0.014036	0.048366	0.019777	0.00981	NA	1554193	1463084	1333500	1647490	1913750	1381863	1731758	1462814	1630529	1451171	2067222	1998584	1448118	1938606	1521932
"SaltLakeCity"	0.022191	0.016384	0.01585	0.013165	0.018904	-0.009181	0.017725	0.017258	0.026087	0.018585	0.019995	0.013029	0.017235	0.022822	0.017451	0.017401	0.03305	0.009307	0.009939	0.017322	NA	1476709	1364328	1453127	1526262	1282602	1490907	1124211	1501357	1447908	1706147	1616194	1459632	1625749	1337694
"Salvador"	0.020989	0.01741	0.018242	0.012394	0.015809	-0.003537	0.008067	0.019655	0.022026	0.022133	0.019544	0.015225	0.017931	0.02108	0.019775	0.020461	0.022021	0.006999	0.011894	0.019385	0.018668	NA	1348689	1407601	1474261	1188207	1406172	1042553	1444387	1426569	1657090	1565728	1471687	1581642	1278740
"SanCristobalDeLasCasas"	0.021544	0.016277	0.014993	0.017297	0.018329	0.026356	0.03229	0.01867	0.036036	0.019029	0.021775	0.010723	0.019234	0.022364	0.01915	0.017915	0.035635	0.017247	0.01499	0.018353	0.017683	0.018867	NA	1371779	1323219	1125532	1264181	907963	1432384	1470843	1480168	1398327	1363256	1425666	1157784
"Santiago"	0.016725	0.015374	0.011628	0.02643	0.0263	0.018713	0.040193	0.021651	0.026465	0.025796	0.014184	0.005549	0.023983	0.019835	0.014498	0.022574	0.051395	0.026729	0.026944	0.023212	0.015949	0.013824	0.013341	NA	1758115	1265158	1553564	1273339	1714716	1500737	1872594	1811413	1413302	1793473	1390637
"Sardinia"	0.014461	0.010307	0.007543	0.026357	0.026484	0.050036	0.060611	0.011786	0.026662	0.012836	0.017165	0.002638	0.018885	0.017953	0.015108	0.009896	0.048712	0.036389	0.026631	0.014897	0.011557	0.011866	0.016044	0.026428	NA	1223379	1807222	1960639	1710876	1467560	2800327	3123984	1492102	2565580	1881184
"Tatui"	0.025702	0.016744	0.015202	0.010702	0.021917	-0.015572	0.019665	0.012668	0.031079	0.01386	0.022089	0.013256	0.014432	0.026227	0.014392	0.013554	0.044444	0.008289	0.00374	0.012858	0.015571	0.019456	0.016439	0.016635	0.007246	NA	1277018	867789	1282427	1200961	1388263	1304915	1166738	1321942	1073146
"Tehran"	0.024132	0.016233	0.015095	0.013225	0.022247	-0.013019	0.025688	0.014359	0.026838	0.014947	0.019594	0.013318	0.015211	0.026237	0.015382	0.014207	0.04102	0.012641	0.005462	0.014816	0.016434	0.018792	0.016732	0.018357	0.00937	0.0136	NA	1409071	1542638	1380804	1927624	1875046	1395799	1832745	1452785
"TelAviv"	0.027194	0.01839	0.01578	0.02682	0.033616	0.026587	0.06385	0.017902	0.029763	0.011888	0.021596	0.012477	0.019625	0.030329	0.017906	0.012109	0.059534	0.034923	0.011898	0.016979	0.019125	0.021434	0.019463	0.031906	0.019678	0.012611	0.014549	NA	1236952	1031669	1916627	1971728	1058111	1794552	1330810
"TelAvivColony"	0.010518	0.017786	0.009101	0.045983	0.01982	0.038983	0.045362	0.034495	0.010733	0.050529	0.001678	-0.001291	0.038902	0.016952	0.011511	0.040935	0.032311	0.045182	0.068331	0.042569	0.016946	0.005606	0.004016	0.036889	0.060059	0.025431	0.030653	0.066712	NA	1557786	1843131	1772700	1452480	1772040	1409908
"TlaxcalaDeXicohtencatl"	0.018495	0.020168	0.019201	0.031163	0.030255	0.023467	0.030976	0.033953	0.023963	0.038839	0.014818	0.011944	0.031102	0.022623	0.038806	0.035147	0.033574	0.027422	0.032766	0.032743	0.023798	0.017903	0.027662	0.032064	0.031671	0.029349	0.028306	0.039552	0.01771	NA	1623999	1542325	1441464	1561146	1263403
"Torshavn"	0.014833	0.010578	0.008549	0.026655	0.026723	0.034685	0.057693	0.013657	0.026914	0.013301	0.017918	0.003192	0.020141	0.018232	0.016599	0.010504	0.047272	0.033908	0.026954	0.015516	0.012225	0.012447	0.017194	0.026701	0.026378	0.006959	0.010087	0.022677	0.055349	0.031659	NA	2875631	1672853	2585085	1913292
"Trincomalee"	0.014444	0.009553	0.007382	0.026409	0.026889	0.053216	0.066737	0.01137	0.026923	0.008915	0.017357	0.003006	0.017772	0.018045	0.015123	0.007104	0.049052	0.039166	0.025751	0.012937	0.010934	0.012121	0.016227	0.026851	0.026551	0.005347	0.007755	0.017465	0.062006	0.032196	0.026879	NA	1582153	2614173	1928120
"Vernelle"	0.021098	0.016464	0.016439	0.007746	0.010602	-0.005251	0.00226	0.015231	0.019331	0.019143	0.017784	0.015265	0.013975	0.019919	0.015544	0.017907	0.01524	0.003103	0.007532	0.016385	0.016316	0.017248	0.015018	0.008868	0.007207	0.017429	0.016414	0.017746	-0.000213	0.012333	0.007856	0.007714	NA	1606862	1284958
"WadiHidan"	0.026991	0.017809	0.015864	0.019917	0.029339	0.026705	0.049631	0.016889	0.036035	0.013461	0.024084	0.012079	0.0189	0.028882	0.017093	0.013195	0.057599	0.023548	0.007712	0.016054	0.01899	0.022686	0.019419	0.024455	0.01282	0.013145	0.014484	0.014565	0.041174	0.038246	0.016471	0.011798	0.018315	NA	1780990
"Cpalumbus"	0.050723	0.081973	0.095771	0.100653	0.083381	0.052684	0.069014	0.122396	0.0687	0.14036	0.075938	0.090055	0.105242	0.061057	0.112479	0.118892	0.065981	0.08637	0.113556	0.11596	0.089872	0.069378	0.098128	0.09133	0.107937	0.098193	0.107596	0.142863	0.06942	0.073624	0.104373	0.109383	0.074648	0.141403	NA
