Abadeh	1511130	0.00280626197859733	0.00314784845561392	-0.545201715481616
Barcelona	1115767	0.00264943481825085	0.00264407304906288	0.0101877166259357
Berlin	2222206	0.00278948451679378	0.00260128255088885	0.363508973477454
Colombo	3003848	0.00287751752656682	0.00274680386916145	0.239101972676833
Copenhagen	1768236	0.00244987437941496	0.00220579375608554	0.555940944282465
Crete	2950264	0.00289759969725273	0.00288816891565913	0.0164064938829549
Denver	3373535	0.00279073648982548	0.00266379628500144	0.239436414072154
Guimaraes	2578327	0.00291129354871539	0.00294550022176319	-0.0583497940016234
Isfahan	1305276	0.00214830660404447	0.00196677144916459	0.463700935436157
Johannesburg	2310816	0.00244267867068352	0.00220423070148385	0.543513058777097
Lahijan	1251142	0.00252606303253995	0.00247254865229278	0.108735481505953
Lisbon	1891004	0.00288718311347074	0.00275652578994836	0.238147529626441
London	3005180	0.00264389426156737	0.00242078707972675	0.463066370586389
MexicoCity	1498580	0.00235876168117582	0.00229682276245193	0.135484285211374
Monterrey	1697986	0.00231667781891009	0.00211316072412717	0.483864479776328
Nairobi	1694977	0.00227618037269875	0.00205321937035156	0.545565678781774
Nowshahr	1659100	0.00233156135651821	0.00223571954098591	0.215374895105271
Perth	2571053	0.00249711559509755	0.00219888780897533	0.681432260427399
PigeonIsland	3495933	0.00289003417427469	0.00271940488771635	0.315263032090994
Prague	2169682	0.00254623409248713	0.00245534102518795	0.185991983705463
SaltLakeCity	1781410	0.00246667606017433	0.00230198507715097	0.359443239261715
Salvador	1726536	0.00262372539579621	0.00225468068600913	0.822345064151
SanCristobalDeLasCasas	1554081	0.00225716149024752	0.00198782780895797	0.680702640543945
Santiago	1953420	0.00239689746196791	0.00220177236277091	0.445252335585872
Sardinia	3449123	0.00307988276937449	0.00314538303457037	-0.104632285776489
Tatui	1445167	0.00211581067128349	0.00192541770927901	0.496779483996042
Tehran	1889975	0.00266024161436401	0.00304039396376137	-0.628211814080125
TelAviv	2080302	0.00260128853075944	0.0024886839829728	0.2273318438846
TelAvivColony	1975856	0.00176391188078845	0.00150749570533634	0.854539679879594
TlaxcalaDeXicohtencatl	1713216	0.00239204187483105	0.00220590628018496	0.423936524332644
Torshavn	3085758	0.00273877158520269	0.00255305141541535	0.365500603802214
Trincomalee	3466126	0.0029351587288192	0.00276534454597844	0.308544809427105
Vernelle	1736022	0.0029421964921096	0.00285723917015251	0.149391698903654
WadiHidan	2775108	0.00295872963841488	0.00316764386973426	-0.331377599438015
Cpalumbus	2431480	0.00242696893970953	0.00264444083179137	-0.41319171993066
