"Abadeh"	"Barcelona"	"Berlin"	"Colombo"	"Copenhagen"	"Crete"	"Denver"	"Guimaraes"	"Isfahan"	"Johannesburg"	"Lahijan"	"Lisbon"	"London"	"MexicoCity"	"Monterrey"	"Nairobi"	"Nowshahr"	"Perth"	"PigeonIsland"	"Prague"	"SaltLakeCity"	"Salvador"	"SanCristobalDeLasCasas"	"Santiago"	"Sardinia"	"Tatui"	"Tehran"	"TelAviv"	"TlaxcalaDeXicohtencatl"	"Torshavn"	"Trincomalee"	"Vernelle"	"WadiHidan"
"Perth"	0.12307	0.087642	0.070147	0.115923	0.086265	0.155754	0.099855	0.068179	0.139957	0.066822	0.116299	0.079718	0.053139	0.084931	0.119469	0.128089	0.114386	0	0.185667	0.078921	0.062759	0.085152	0.127573	0.124379	0.122667	0.134214	0.096982	0.09464	0.112338	0.164419	0.171257	0.106561	0.116086
"PigeonIsland"	0.109594	0.147208	0.140814	0.120334	0.172813	0.154913	0.162939	0.126878	0.204739	0.165517	0.149521	0.131876	0.166902	0.165423	0.179952	0.184305	0.180658	0.185667	0	0.15017	0.161546	0.171207	0.192389	0.181381	0.125806	0.190434	0.108817	0.151227	0.175699	0.170529	0.034532	0.129526	0.129304
"Prague"	0.077842	0.057307	0.038177	0.08882	0.059512	0.099233	0.065532	0.040387	0.112139	0.052896	0.084944	0.04726	0.058311	0.05472	0.0743	0.09525	0.0848	0.078921	0.15017	0	0.046152	0.067924	0.085722	0.079689	0.078585	0.091903	0.059786	0.06829	0.071506	0.119058	0.136353	0.061673	0.080356
"SaltLakeCity"	0.091909	0.05936	0.04723	0.091602	0.058279	0.116394	0.063451	0.043249	0.102462	0.039605	0.083376	0.053323	0.044568	0.048875	0.077536	0.09238	0.076203	0.062759	0.161546	0.046152	0	0.061821	0.083997	0.081604	0.095024	0.098991	0.066051	0.068075	0.069411	0.134874	0.149086	0.079141	0.091478
"Salvador"	0.10571	0.077625	0.062359	0.105072	0.082144	0.129122	0.08425	0.05634	0.132739	0.068496	0.105145	0.065531	0.062531	0.073383	0.099638	0.115588	0.106463	0.085152	0.171207	0.067924	0.061821	0	0.107278	0.100376	0.101693	0.104146	0.081463	0.087814	0.093979	0.145499	0.157114	0.088159	0.098676
"SanCristobalDeLasCasas"	0.118364	0.093338	0.088549	0.121937	0.107503	0.147677	0.097836	0.075427	0.142975	0.090038	0.115472	0.078751	0.107316	0.05217	0.061679	0.122495	0.120304	0.127573	0.192389	0.085722	0.083997	0.107278	0	0.092038	0.121781	0.122089	0.092937	0.100199	0.061863	0.168135	0.176846	0.106187	0.118254
"Santiago"	0.106668	0.084945	0.081419	0.115438	0.101841	0.139328	0.099113	0.069014	0.138955	0.086118	0.10809	0.073077	0.102192	0.068003	0.083788	0.115072	0.114745	0.124379	0.181381	0.079689	0.081604	0.100376	0.092038	0	0.109734	0.115296	0.085262	0.097053	0.081353	0.157804	0.1665	0.097572	0.109832
"Sardinia"	0.059621	0.073818	0.070836	0.092461	0.10283	0.087761	0.09133	0.056029	0.149586	0.100876	0.09296	0.063955	0.100529	0.094264	0.111748	0.124696	0.122324	0.122667	0.125806	0.078585	0.095024	0.101693	0.121781	0.109734	0	0.120711	0.054331	0.088021	0.106462	0.100432	0.113385	0.057176	0.070092
"Tatui"	0.116355	0.099752	0.091685	0.127401	0.11164	0.14882	0.118739	0.080938	0.151798	0.10253	0.122197	0.084199	0.111273	0.094287	0.111749	0.128989	0.128192	0.134214	0.190434	0.091903	0.098991	0.104146	0.122089	0.115296	0.120711	0	0.094912	0.107824	0.10678	0.166332	0.179162	0.105333	0.117997
"Tehran"	0.037293	0.055558	0.057383	0.063889	0.076064	0.066826	0.075704	0.042358	0.090165	0.069287	0.053497	0.049743	0.07692	0.065818	0.083344	0.083735	0.067946	0.096982	0.108817	0.059786	0.066051	0.081463	0.092937	0.085262	0.054331	0.094912	0	0.057936	0.076957	0.098194	0.09669	0.054767	0.053026
"TelAviv"	0.080531	0.068351	0.063605	0.08825	0.083434	0.103424	0.086738	0.056075	0.112446	0.070646	0.08455	0.06186	0.077164	0.07238	0.093761	0.095965	0.088499	0.09464	0.151227	0.06829	0.068075	0.087814	0.100199	0.097053	0.088021	0.107824	0.057936	0	0.088352	0.134431	0.136692	0.08189	0.064197
"TlaxcalaDeXicohtencatl"	0.102508	0.07839	0.073486	0.105729	0.089386	0.132772	0.08463	0.060785	0.1286	0.072683	0.098819	0.065378	0.090742	0.036897	0.049467	0.10638	0.103558	0.112338	0.175699	0.071506	0.069411	0.093979	0.061863	0.081353	0.106462	0.10678	0.076957	0.088352	0	0.152476	0.16066	0.0917	0.102672
"Torshavn"	0.105889	0.121849	0.111734	0.13648	0.145225	0.135829	0.13653	0.099256	0.197704	0.140193	0.141655	0.105634	0.136663	0.139586	0.158095	0.170741	0.170555	0.164419	0.170529	0.119058	0.134874	0.145499	0.168135	0.157804	0.100432	0.166332	0.098194	0.134431	0.152476	0	0.159019	0.093	0.114759
"Trincomalee"	0.100532	0.136345	0.12819	0.106611	0.159865	0.14297	0.147061	0.114038	0.18656	0.150914	0.132599	0.119613	0.151915	0.151834	0.164649	0.168221	0.164536	0.171257	0.034532	0.136353	0.149086	0.157114	0.176846	0.1665	0.113385	0.179162	0.09669	0.136692	0.16066	0.159019	0	0.118609	0.116911
"Vernelle"	0.062827	0.066147	0.05677	0.085859	0.088379	0.0861	0.079676	0.047318	0.135673	0.085299	0.087278	0.054518	0.087048	0.076928	0.096079	0.107188	0.105468	0.106561	0.129526	0.061673	0.079141	0.088159	0.106187	0.097572	0.057176	0.105333	0.054767	0.08189	0.0917	0.093	0.118609	0	0.06842
"WadiHidan"	0.060326	0.077805	0.073137	0.086705	0.101533	0.092185	0.093359	0.062245	0.135888	0.094965	0.088157	0.068584	0.097546	0.091527	0.108564	0.113205	0.11094	0.116086	0.129304	0.080356	0.091478	0.098676	0.118254	0.109832	0.070092	0.117997	0.053026	0.064197	0.102672	0.114759	0.116911	0.06842	0
